gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PhoneService_flag,MultipleLines_flag,OnlineSecurity_flag,OnlineBackup_flag,DeviceProtection_flag,TechSupport_flag,StreamingTV_flag,StreamingMovies_flag,ServiceCount,tenure group,ChurnProbability,RevenueAtRisk,RetentionSegment,RecommendedAction
Male,Yes,Yes,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.8,220.45,No,0,0,1,0,0,0,0,0,1,Below 1 year,0.57321256,126.36470973193644,Medium Risk,Offer technical support
Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,3432.9,Yes,1,1,1,1,0,1,1,1,7,Below 3 years,0.5482773,1882.181206601858,Medium Risk,Promote long-term contract
Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.55,252.75,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.2916949,73.72588833421469,Low Risk,Promote long-term contract
Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.45,370.65,Yes,1,0,0,0,0,0,1,1,3,Below 1 year,0.88055784,326.3787615805864,High Risk - High Value,Priority retention offer
Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.65,1465.75,Yes,1,1,0,0,0,0,0,1,3,Below 3 years,0.7685533,1126.5070237964392,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.4,1095.65,Yes,1,0,0,0,1,1,0,1,4,Below 3 years,0.795435,871.5183702260257,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.85,399.25,No,1,1,0,0,0,1,1,1,5,Below 1 year,0.7939758,316.994826361537,High Risk - High Value,Priority retention offer
Male,No,No,Yes,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,49.9,49.9,Yes,1,0,0,0,0,1,0,0,2,Below 1 year,0.6941233,34.6367540538311,Medium Risk,Promote security service
Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.15,6953.4,No,1,1,0,1,1,1,1,1,7,oldest Customers,0.6046975,4204.7037738204,Medium Risk,Promote security service
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.35,689.75,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.05183773,35.75507506262511,Low Risk,Standard engagement
Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.6,5025.8,No,1,1,0,1,1,0,1,0,5,Below 5 years,0.4120247,2070.753770440817,Medium Risk,Promote security service
Male,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.4,4063.0,No,1,1,0,0,1,0,0,1,4,Below 5 years,0.5204128,2114.4372173547745,Medium Risk,Promote security service
Male,No,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.4,475.1,No,1,0,0,0,0,0,1,0,2,Below 1 year,0.6882293,326.9777510881424,Medium Risk,Promote security service
Male,No,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.7,44.7,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.7720453,34.51042554974556,High Risk - New Customer,Onboarding intervention
Female,Yes,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.8,55.8,Yes,1,0,1,0,1,0,0,0,3,Below 1 year,0.81695956,45.5863434433937,High Risk - New Customer,Onboarding intervention
Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),95.9,6954.15,No,1,1,1,1,0,0,1,0,5,oldest Customers,0.103709996,721.2148669213057,Low Risk,Offer technical support
Male,No,Yes,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0,0,0,1,0,0,0,0,1,Below 1 year,0.7687027,23.214821112155914,High Risk - New Customer,Onboarding intervention
Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.25,24.25,Yes,0,0,0,0,0,0,0,0,0,Below 1 year,0.8008827,19.421405404806137,High Risk - New Customer,Onboarding intervention
Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.75,4273.45,Yes,1,1,0,1,0,0,1,1,5,Below 5 years,0.78110385,3338.0082452654838,High Risk - High Value,Priority retention offer
Male,No,No,Yes,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),40.65,947.4,No,0,0,1,1,0,1,0,0,3,Below 3 years,0.13179779,124.86522674560547,Low Risk,Standard engagement
Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.75,4323.45,Yes,1,1,0,1,1,0,1,1,6,Below 5 years,0.7143762,3088.5698301672933,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),79.9,3326.2,Yes,1,1,1,1,1,1,0,1,7,Below 5 years,0.25221828,838.9284305036067,Low Risk,Promote long-term contract
Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.95,305.55,Yes,1,1,0,1,0,0,0,0,3,Below 1 year,0.74656135,228.11182001531125,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.0,773.65,Yes,1,1,0,1,1,0,1,0,5,Below 1 year,0.8589184,664.5022421479225,High Risk - High Value,Priority retention offer
Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),100.6,5069.65,Yes,1,1,0,0,0,1,1,1,5,Below 5 years,0.46659032,2365.4495909646153,Medium Risk,Promote security service
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,19.7,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.5122309,10.09094820022583,Medium Risk,Promote long-term contract
Male,No,Yes,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),60.3,3563.8,Yes,1,0,1,1,1,0,0,0,4,Below 5 years,0.131745,469.5128157228232,Low Risk,Offer technical support
Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,96.8,1826.7,No,1,1,0,1,0,1,1,0,5,Below 3 years,0.44278088,808.827837368846,Medium Risk,Promote security service
Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0,935.9,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.04711339,44.09342055618763,Low Risk,Standard engagement
Male,No,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),57.55,3046.4,Yes,1,0,1,1,0,1,0,0,4,Below 5 years,0.063385405,193.09729671478271,Low Risk,Standard engagement
Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,70.15,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.85909593,60.26557956337929,High Risk - New Customer,Onboarding intervention
Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),79.85,2404.15,Yes,1,1,0,0,0,1,0,0,3,Below 3 years,0.44256356,1063.9891913935542,Medium Risk,Promote security service
Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.1,576.65,Yes,1,0,0,0,0,0,1,0,2,Below 1 year,0.8552832,493.1990577071905,High Risk - High Value,Priority retention offer
Female,No,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.15,5883.85,No,1,1,0,1,1,1,1,1,7,oldest Customers,0.10777479,634.1306784372778,Low Risk,Promote security service
Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.25,1372.9,No,1,0,0,0,0,0,0,0,1,oldest Customers,0.056191657,77.14552553631366,Low Risk,Standard engagement
Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.85,3887.25,No,1,1,1,1,0,0,1,1,6,Below 5 years,0.4876204,1895.5024516135454,Medium Risk,Offer technical support
Female,No,Yes,Yes,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,No,0,0,0,0,0,1,0,0,1,Below 5 years,0.24151307,343.68517916500565,Low Risk,Promote security service
Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.6,6912.7,No,1,1,0,0,1,1,1,1,6,oldest Customers,0.3869612,2674.946631196141,Low Risk,Promote security service
Male,Yes,No,No,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,Yes,1,0,1,0,1,0,0,1,4,Below 5 years,0.21695757,605.6370542049408,Low Risk,Offer technical support
Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,85.45,2509.95,No,1,1,0,0,0,0,1,0,3,Below 3 years,0.74061847,1858.9153220772741,High Risk - High Value,Priority retention offer
Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,102.0,6529.25,Yes,1,1,1,1,0,1,0,1,6,oldest Customers,0.45156816,2948.401385702193,Medium Risk,Standard engagement
Female,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,49.5,49.5,No,1,0,0,1,0,0,0,0,2,Below 1 year,0.77446026,38.335782676935196,High Risk - New Customer,Onboarding intervention
Male,No,No,No,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,40.05,162.45,No,0,0,0,0,0,1,0,1,2,Below 1 year,0.70149505,113.95787109732628,High Risk - New Customer,Onboarding intervention
Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,267.0,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.11356907,30.322942592203617,Low Risk,Standard engagement
Male,No,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.05,2452.7,Yes,0,0,0,1,0,0,0,1,2,Below 5 years,0.43217337,1059.9916278243063,Medium Risk,Promote security service
Female,No,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,55.95,1157.05,Yes,0,0,1,0,1,0,1,1,4,Below 3 years,0.23299737,269.58961013630034,Low Risk,Offer technical support
Female,Yes,No,No,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,45.7,198.0,Yes,0,0,0,0,0,0,1,1,2,Below 1 year,0.8019319,158.782519698143,High Risk - New Customer,Onboarding intervention
Male,No,No,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),64.65,3665.55,No,1,1,1,1,0,1,0,0,5,Below 5 years,0.12666553,464.2988429814577,Low Risk,Standard engagement
Female,No,Yes,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,0,0,0,0,0,0,0,0,0,Below 1 year,0.8179406,20.28492670059204,High Risk - New Customer,Onboarding intervention
Female,Yes,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.0,46.0,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.84823436,39.01878035068512,High Risk - New Customer,Onboarding intervention
Male,No,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),72.8,2333.05,No,1,1,1,0,0,1,1,0,5,Below 3 years,0.16665252,388.8086513586343,Low Risk,Standard engagement
Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4,5749.8,No,1,1,0,0,0,1,1,1,5,Below 5 years,0.53713524,3088.420222592354,Medium Risk,Promote security service
Male,Yes,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.45,950.2,Yes,1,0,0,0,0,0,0,1,2,Below 3 years,0.8343604,792.8092717528343,High Risk - High Value,Priority retention offer
Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.75,7932.5,No,1,1,0,1,1,1,1,1,7,oldest Customers,0.22051069,1749.201059564948,Low Risk,Promote security service
Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,No,1,0,0,0,0,0,1,1,3,Below 1 year,0.8848724,502.43053561449045,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.15,465.05,Yes,1,0,0,1,0,1,1,1,5,Below 1 year,0.7723175,359.166266733408,High Risk - High Value,Priority retention offer
Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,94.3,5610.15,No,1,1,0,1,1,0,0,1,5,Below 5 years,0.35359824,1983.7391495168208,Low Risk,Promote security service
Female,No,No,No,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),49.7,1081.25,No,1,0,0,0,1,0,0,0,2,Below 3 years,0.3540376,382.8031687065959,Low Risk,Promote security service
Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.15,952.3,Yes,1,0,0,1,1,0,0,0,3,Below 3 years,0.8032589,764.9434465408325,High Risk - High Value,Priority retention offer
Male,No,No,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1284.2,No,1,0,0,1,0,1,0,0,3,Below 3 years,0.2268055,291.2636144131422,Low Risk,Promote security service
Female,No,Yes,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.25,2203.65,Yes,1,1,0,0,0,0,0,0,2,Below 5 years,0.5725004,1261.5905234187842,Medium Risk,Promote security service
Female,No,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.5,1215.1,No,1,0,0,0,0,0,0,0,1,oldest Customers,0.046482794,56.48124297335743,Low Risk,Standard engagement
Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.9,324.3,Yes,1,0,0,0,0,0,0,1,2,Below 1 year,0.86267745,279.76629863977433,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,20.3,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.67439693,13.690257722139359,Medium Risk,Promote long-term contract
Female,Yes,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.3,89.3,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.84187764,75.17967318892478,High Risk - New Customer,Onboarding intervention
Female,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.3,5129.3,No,1,1,1,1,1,1,0,1,7,oldest Customers,0.07313333,375.1227745242417,Low Risk,Standard engagement
Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.8,70.8,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.8578865,60.738363718986506,High Risk - New Customer,Onboarding intervention
Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.75,1111.85,Yes,1,1,0,1,0,0,0,0,3,Below 3 years,0.81510735,906.2771021842956,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.15,1676.95,Yes,1,1,0,1,0,0,0,0,3,Below 3 years,0.72701454,1219.1670355796814,High Risk - High Value,Priority retention offer
Female,No,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,535.35,No,1,0,0,0,0,0,0,0,1,Below 3 years,0.1738333,93.06165485456586,Low Risk,Promote long-term contract
Male,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.4,314.95,No,1,1,0,0,0,0,0,0,2,Below 3 years,0.12003943,37.806419499218464,Low Risk,Standard engagement
Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),83.2,2032.3,No,1,0,0,1,1,1,0,0,4,Below 3 years,0.36133662,734.3444101065397,Low Risk,Promote security service
Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.65,655.85,Yes,1,0,0,0,0,0,0,0,1,Below 3 years,0.21471216,140.8189687229693,Low Risk,Promote long-term contract
Female,No,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),55.9,365.35,Yes,1,0,1,1,0,0,0,0,3,Below 1 year,0.4242775,155.00978982001544,Medium Risk,Offer technical support
Male,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,84.05,2909.95,No,1,0,0,0,1,0,1,0,3,Below 3 years,0.55290836,1608.9356849700212,Medium Risk,Promote security service
Female,No,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,No,1,1,1,0,0,0,0,0,3,Below 1 year,0.62208545,578.104010617733,Medium Risk,Offer technical support
Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.1,5083.55,No,1,1,0,1,0,1,1,1,6,Below 5 years,0.5551492,2822.128703349829,Medium Risk,Promote security service
Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,Yes,1,0,0,0,0,0,1,0,2,Below 1 year,0.868108,266.8563913702965,High Risk - High Value,Priority retention offer
Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.8,2440.25,No,1,1,0,1,1,0,0,0,4,Below 3 years,0.73342097,1789.7305172979832,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,1046.1,Yes,1,1,0,0,0,0,1,1,4,Below 3 years,0.8732491,913.5058976948261,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,134.05,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.123756535,16.589563563838603,Low Risk,Standard engagement
Male,No,No,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.5,5196.1,No,1,0,0,1,1,1,1,1,6,oldest Customers,0.09355421,486.117049510777,Low Risk,Promote security service
Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.6,154.3,No,1,1,0,0,0,0,0,0,2,Below 1 year,0.81464016,125.69897736310959,High Risk - New Customer,Onboarding intervention
Male,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,No,1,1,1,1,0,0,1,0,5,Below 5 years,0.43369633,2052.728097599745,Medium Risk,Offer technical support
Male,No,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.95,2292.75,No,1,0,1,0,1,0,1,1,5,Below 3 years,0.39870742,914.1364363655448,Low Risk,Offer technical support
Male,No,No,Yes,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.3,25.3,Yes,0,0,0,0,0,0,0,0,0,Below 1 year,0.8277976,20.943279069662093,High Risk - New Customer,Onboarding intervention
Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,825.7,Yes,1,1,0,0,0,0,0,0,2,Below 1 year,0.8247401,680.987910336256,High Risk - High Value,Priority retention offer
Male,No,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),79.85,5234.95,No,1,1,0,1,1,0,1,1,6,oldest Customers,0.14885403,779.2434156499803,Low Risk,Promote security service
Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.4,6444.05,No,1,1,0,1,1,0,1,1,6,oldest Customers,0.7167527,4618.790287718177,High Risk - High Value,Priority retention offer
Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.35,780.5,Yes,1,1,0,0,1,0,1,1,5,Below 1 year,0.86305064,673.6110242307186,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,1615.1,No,1,1,0,0,0,0,0,0,2,Below 3 years,0.54126984,874.2049166619777,Medium Risk,Promote security service
Female,Yes,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.3,940.35,Yes,1,0,0,0,1,0,0,0,2,Below 3 years,0.82467055,775.4789547085762,High Risk - General,Promote security service
Female,No,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,83.4,83.4,No,1,0,1,1,0,1,0,0,4,Below 1 year,0.76311195,63.64353654384613,High Risk - High Value,Priority retention offer
Male,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.65,70.65,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.8514522,60.155095937848095,High Risk - New Customer,Onboarding intervention
Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.55,71.55,Yes,1,0,0,0,0,0,0,0,1,Below 1 year,0.85047185,60.85126116871834,High Risk - New Customer,Onboarding intervention
Female,No,No,No,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.25,773.2,No,1,1,0,1,0,0,0,0,3,Below 3 years,0.27889678,215.64298938512803,Low Risk,Promote security service
Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.5,79.05,No,1,0,0,0,0,0,0,0,1,Below 1 year,0.15522131,12.270244811475276,Low Risk,Standard engagement
Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.6,2933.2,Yes,1,1,0,0,1,0,1,1,5,Below 3 years,0.72660434,2131.2758573055266,High Risk - High Value,Priority retention offer
Female,No,No,No,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),58.75,3038.55,No,0,0,1,1,1,0,1,1,5,Below 5 years,0.07962034,241.93038099668922,Low Risk,Offer technical support
Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.05,1740.7,Yes,1,0,1,0,0,0,1,1,4,Below 3 years,0.7852477,1366.8806427121162,High Risk - High Value,Priority retention offer
Female,No,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.3,909.25,Yes,1,1,1,0,0,0,0,0,3,Below 3 years,0.7016353,637.9618975371122,High Risk - High Value,Priority retention offer
Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.9,3545.35,Yes,1,1,0,1,1,0,1,1,6,Below 5 years,0.6673524,2365.997754648328,Medium Risk,Promote security service
Female,No,Yes,No,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.15,3673.15,No,1,0,1,0,1,0,0,0,3,oldest Customers,0.24885374,914.0771263808012,Low Risk,Offer technical support
Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.85,80.85,Yes,1,0,0,0,0,0,0,1,2,Below 1 year,0.87527955,70.76635127663612,High Risk - High Value,Priority retention offer
Female,No,No,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.35,1277.5,No,0,0,0,0,1,0,1,1,3,Below 3 years,0.488598,624.1839310526848,Medium Risk,Promote security service
Female,No,No,No,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.25,487.05,No,1,0,0,0,1,1,0,1,4,Below 1 year,0.82327545,400.9763064086437,High Risk - High Value,Priority retention offer
Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.4,967.85,No,1,0,0,0,0,0,0,0,1,Below 5 years,0.052576702,50.88636111598462,Low Risk,Standard engagement
Male,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,1,0,0,0,0,1,0,0,2,Below 1 year,0.841745,62.878352916240694,High Risk - New Customer,Onboarding intervention
Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.25,1566.9,No,1,0,0,0,0,0,0,0,1,oldest Customers,0.043899123,68.78553524203599,Low Risk,Standard engagement
Female,No,No,No,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.6,72.4,Yes,0,0,1,1,0,0,0,1,3,Below 1 year,0.7207448,52.18192269802094,High Risk - New Customer,Onboarding intervention
